Date,anemia,crescimento progressivo das feridas,indisposicao,palidez,perda de peso
2010-06-20,57.0,0.0,0.0,0.0,4.0
2010-06-27,18.0,0.0,0.0,0.0,9.0
2010-07-04,27.0,0.0,0.0,0.0,13.0
2010-07-11,17.0,0.0,0.0,0.0,12.0
2010-07-18,30.0,0.0,0.0,0.0,8.0
2010-07-25,29.0,0.0,0.0,4.0,8.0
2010-08-01,70.0,0.0,0.0,0.0,8.0
2010-08-08,40.0,0.0,0.0,0.0,8.0
2010-08-15,77.0,0.0,0.0,0.0,10.0
2010-08-22,59.0,0.0,0.0,0.0,12.0
2010-08-29,39.0,0.0,0.0,0.0,8.0
2010-09-05,62.0,0.0,0.0,4.0,8.0
2010-09-12,69.0,0.0,0.0,0.0,8.0
2010-09-19,46.0,0.0,0.0,0.0,8.0
2010-09-26,52.0,0.0,0.0,0.0,9.0
2010-10-03,37.0,0.0,0.0,0.0,10.0
2010-10-10,34.0,0.0,0.0,0.0,10.0
2010-10-17,74.0,0.0,0.0,4.0,11.0
2010-10-24,41.0,0.0,0.0,0.0,7.0
2010-10-31,60.0,0.0,0.0,0.0,4.0
2010-11-07,33.0,0.0,0.0,0.0,6.0
2010-11-14,44.0,0.0,0.0,0.0,9.0
2010-11-21,58.0,0.0,0.0,0.0,11.0
2010-11-28,45.0,0.0,0.0,0.0,4.0
2010-12-05,77.0,0.0,0.0,0.0,4.0
2010-12-12,43.0,0.0,0.0,0.0,4.0
2010-12-19,38.0,0.0,0.0,0.0,13.0
2010-12-26,42.0,0.0,0.0,0.0,21.0
2011-01-02,32.0,0.0,0.0,0.0,7.0
2011-01-09,39.0,0.0,0.0,0.0,5.0
2011-01-16,35.0,0.0,0.0,0.0,1.0
2011-01-23,31.0,0.0,0.0,1.0,3.0
2011-01-30,50.0,0.0,0.0,1.0,2.0
2011-02-06,43.0,0.0,0.0,2.0,4.0
2011-02-13,48.0,0.0,0.0,2.0,5.0
2011-02-20,56.0,0.0,0.0,1.0,3.0
2011-02-27,37.0,0.0,0.0,1.0,6.0
2011-03-06,43.0,0.0,0.0,1.0,7.0
2011-03-13,48.0,0.0,0.0,1.0,3.0
2011-03-20,54.0,0.0,0.0,1.0,8.0
2011-03-27,46.0,0.0,0.0,1.0,3.0
2011-04-03,52.0,0.0,0.0,2.0,5.0
2011-04-10,40.0,0.0,0.0,2.0,4.0
